Season,Team,Team Salary,Team Salary (in millions),League,Wins,Losses,Winning %,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,ERA,SV,SVO,IP,Hit Allowed,Runs Allowed,ER Allowed,HR Allowed,BB Allowed,SO Pitched,AVG Allowed,WHIP,INN,TC,PO,A,E,DP,SBPCT,C_WP,FPCT,DER
2013,Detroit Tigers,149046844,149,AL,93,69,0.574,5735,796,1625,292,23,176,767,531,1073,35,20,0.283,0.346,0.434,0.78,3.61,39,55,1462.2,1369,624,587,128,462,1428,0.247,1.25,13164,5972,4388,1508,76,136,0.815,63,0.987,0.686
2013,Houston Astros,24328538,24.3,AL,51,111,0.315,5457,610,1307,266,16,148,566,426,1535,110,61,0.24,0.299,0.375,0.674,4.79,32,61,1440,1530,848,766,191,616,1084,0.272,1.49,12960,6080,4320,1635,125,168,0.726,61,0.979,0.681
2013,Kansas City Royals,80491725,80.5,AL,86,76,0.531,5549,648,1443,254,34,112,620,422,1048,153,32,0.26,0.315,0.379,0.694,3.45,52,73,1448.1,1366,601,555,155,469,1208,0.25,1.27,13035,5950,4345,1520,85,136,0.681,60,0.986,0.699
2013,Los Angeles Angels,142165250,142.2,AL,78,84,0.481,5588,733,1476,270,39,164,696,523,1221,82,34,0.264,0.329,0.414,0.743,4.23,41,58,1457.2,1475,737,685,167,533,1200,0.261,1.38,13119,5985,4373,1500,112,135,0.789,74,0.981,0.686
2013,Los Angeles Dodgers,216302909,216.3,NL,92,70,0.568,5491,649,1447,281,17,138,618,476,1146,78,28,0.264,0.326,0.396,0.722,3.25,46,65,1450.1,1321,582,524,127,460,1292,0.243,1.23,13053,6183,4351,1723,109,160,0.612,66,0.982,0.692
2013,Miami Marlins,39621900,39.6,NL,62,100,0.383,5449,513,1257,219,31,95,485,432,1232,78,29,0.231,0.293,0.335,0.627,3.71,36,53,1460,1376,646,602,121,526,1177,0.251,1.3,13140,6155,4380,1687,88,144,0.709,53,0.986,0.698
2013,Milwaukee Brewers,91003366,91,NL,74,88,0.457,5474,640,1381,238,43,157,610,407,1183,142,50,0.252,0.311,0.398,0.708,3.84,40,63,1442.2,1401,687,615,175,466,1125,0.255,1.29,12984,6070,4328,1628,114,153,0.767,51,0.981,0.698
2013,Minnesota Twins,75562500,75.6,AL,66,96,0.407,5564,614,1346,285,15,151,590,533,1430,52,33,0.242,0.312,0.38,0.692,4.55,40,58,1450.1,1591,788,733,168,458,985,0.28,1.41,13053,6155,4351,1723,81,178,0.658,50,0.987,0.68
2013,New York Mets,88877033,88.9,NL,74,88,0.457,5559,619,1318,263,32,130,593,512,1384,114,35,0.237,0.306,0.366,0.672,3.77,40,58,1476.2,1442,684,618,152,458,1209,0.256,1.29,13290,6165,4430,1642,93,127,0.75,47,0.985,0.692
2013,New York Yankees,228995945,229,AL,85,77,0.525,5449,650,1321,247,24,144,614,466,1214,115,31,0.242,0.307,0.376,0.683,3.94,49,62,1447.1,1452,671,633,171,437,1233,0.261,1.31,13026,5955,4342,1544,69,139,0.706,57,0.988,0.688
