Sex,
0,Male
1,Female
,
Donor,
0,HMouseLFPP
1,CONVR
2,Human
3,Fresh
4,Frozen
5,HMouseWestern
6,CONVD
,
Diet,
0,LFPP
1,Western
2,CARBR
3,FATR
4,Suckling
5,Human
,
Source,
0,Cecum1
1,Cecum2
2,Colon1
3,Colon2
4,Feces
5,SI1
6,SI13
7,SI15
8,SI2
9,SI5
10,SI9
11,Stomach
12,Cecum
,
CollectionMet,
0,Contents
1,Scraping
